id;name;street_address;postal_code;city;email;phone_number
1;giraffe woot barracks;arrogantly;as where aw;Rexstad;Felix_Barrows@yahoo.com;packet
2;if after;far;purple brr needily;McDermottville;Bryon_Windler65@gmail.com;though
3;dearly;knowledgeably glamorous imaginative;loftily ah not;East Norbertotown;Nora_Oberbrunner@yahoo.com;fairly
4;psst alternative from;enjoin besides nearly;cylindrical judgementally;East Loganworth;Garry.Simonis67@yahoo.com;hosepipe as loan
5;handicap;euthanize an;prefer under supposing;West Joaquin;Chanelle8@hotmail.com;phooey search
6;artistic watery sheepishly;unethically delectable beside;now where;New Skylar;Jamel8@hotmail.com;overrun how
7;meh cohort perceive;down;worth gosh manipulation;Dooleyville;Oran.Labadie81@hotmail.com;splatter yahoo
8;gee ew;frenetically psst;discrete angrily;Ashtynside;Sienna49@yahoo.com;where
9;unsung briefing;boohoo dampen nor;from cane wrathful;Ann Arbor;Destin_Yundt15@yahoo.com;um
10;ah;boiling;at;Stokesborough;Ulises85@gmail.com;readily quirkily favour
