id;start_date;end_date;language
1;2024-01-30T04:32:25;2024-01-30T00:18:50;SPANISH
2;2024-01-29T10:46:35;2024-01-29T19:46:31;ENGLISH
3;2024-01-29T18:04:41;2024-01-29T10:20:36;FRENCH
4;2024-01-29T09:22:04;2024-01-29T17:21:33;SPANISH
5;2024-01-30T05:14:01;2024-01-30T04:46:07;FRENCH
6;2024-01-30T01:29:26;2024-01-30T08:02:47;SPANISH
7;2024-01-29T20:59:28;2024-01-29T09:20:36;FRENCH
8;2024-01-29T15:28:28;2024-01-29T21:26:12;SPANISH
9;2024-01-30T07:20:21;2024-01-30T07:08:07;SPANISH
10;2024-01-29T14:01:49;2024-01-30T08:04:12;FRENCH
